DeviceLogId,DownloadDate,DeviceId,UserId,LogDate,Direction,AttDirection,C1,C2,C3,C4,C5,C6,C7,WorkCode,UpdateFlag,IsApproved,EmployeeImage,FileName,Longitude,Latitude,CreatedDate,LastModifiedDate,LocationAddress,BodyTemperature,IsMaskOn
82528,12/01/2020 12:30:24,19,HR/EN/1754,11/30/2020 18:23:12,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:24,NULL,NULL,0,0
82527,12/01/2020 12:30:24,19,HR/EN/1754,11/30/2020 18:23:06,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:24,NULL,NULL,0,0
82526,12/01/2020 12:30:24,19,HR/EN/0018,11/30/2020 18:22:47,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:24,NULL,NULL,0,0
82525,12/01/2020 12:30:24,19,HR/EN/0018,11/30/2020 18:22:42,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:24,NULL,NULL,0,0
82524,12/01/2020 12:30:24,19,HR/EN/1687,11/30/2020 18:22:35,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:24,NULL,NULL,0,0
82523,12/01/2020 12:30:24,19,HR/EN/1687,11/30/2020 18:22:30,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:24,NULL,NULL,0,0
82522,12/01/2020 12:30:24,19,HR/EN/1581,11/30/2020 18:20:23,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:24,NULL,NULL,0,0
82521,12/01/2020 12:30:24,19,HR/EN/0999,11/30/2020 18:18:06,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:24,NULL,NULL,0,0
82520,12/01/2020 12:30:24,19,HR/EN/0999,11/30/2020 18:18:00,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:24,NULL,NULL,0,0
17774,12/01/2020 10:49:06,27,HR/EN/1421,11/30/2020 18:15:29,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 10:49:06,NULL,NULL,0,0
17773,12/01/2020 10:49:06,27,HR/EN/1421,11/30/2020 18:15:26,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 10:49:06,NULL,NULL,0,0
82519,12/01/2020 12:30:24,19,HR/EN/1582,11/30/2020 18:12:20,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:24,NULL,NULL,0,0
16576,12/01/2020 10:46:01,37,HR/EN/0089,11/30/2020 18:10:10,,NULL,out,NULL,NULL,4,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 10:46:01,NULL,NULL,0,0
82518,12/01/2020 12:30:24,19,HR/EN/1148,11/30/2020 18:09:53,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:24,NULL,NULL,0,0
82517,12/01/2020 12:30:24,19,HR/EN/1148,11/30/2020 18:09:35,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:24,NULL,NULL,0,0
82516,12/01/2020 12:30:24,19,HR/EN/1148,11/30/2020 18:08:37,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:24,NULL,NULL,0,0
82515,12/01/2020 12:30:24,19,HR/EN/1546,11/30/2020 18:07:25,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:24,NULL,NULL,0,0
82514,12/01/2020 12:30:24,19,HR/EN/1546,11/30/2020 18:07:21,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:24,NULL,NULL,0,0
82513,12/01/2020 12:30:24,19,HR/EN/0471,11/30/2020 18:03:30,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:24,NULL,NULL,0,0
82512,12/01/2020 12:30:21,19,HR/EN/0471,11/30/2020 18:03:24,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:21,NULL,NULL,0,0
